"Classes","LL","Par","AIC","BIC","Dist","LRT","df_diff","p_val","delta_BIC"
"K = 1",-3334.89118929093,27,6723.78237858186,6844.8262770712,"199 (100.0%)",NA,NA,NA,391.670021819596
"K = 2",-3048.29267546073,55,6206.58535092146,6453.15625525161,"131 (65.8%) / 68 (34.2%)",573.197027660397,28,0,0
"K = 3",-2990.41707279266,83,6146.83414558533,6518.93205575627,"38 (19.1%) / 70 (35.2%) / 91 (45.7%)",115.751205336134,28,1.23290266884624e-12,65.7758005046671
"K = 4",-2938.67256283171,111,6099.34512566342,6596.97004167517,"93 (46.7%) / 35 (17.6%) / 19 (9.5%) / 52 (26.1%)",103.489019921909,28,1.36690991858757e-10,143.81378642356
"K = 5",-2958.77823919209,139,6139.55647838417,6637.18139439592,"77 (38.7%) / 41 (20.6%) / 43 (21.6%) / 38 (19.1%)",-40.2113527207566,28,1,184.025139144317
