"Classes","LL","Par","AIC","BIC","Dist","delta_BIC","LRT","df_diff","p_val"
"K = 1",-5688.08340672809,27,11430.1668134562,11562.837721924,"201 (100%)",1158.56198217807,NA,NA,NA
"K = 2",-5282.47631589176,55,10674.9526317835,10945.2081860698,"92 (45.8%) / 109 (54.2%)",540.932446323886,811.214181672651,28,0
"K = 3",-5015.54153698551,83,10197.083073971,10604.9232740758,"60 (29.9%) / 79 (39.3%) / 62 (30.8%)",200.647534329846,533.869557812512,28,0
"K = 4",-4849.06011377504,111,9920.12022755009,10465.5450734733,"43 (21.4%) / 44 (21.9%) / 60 (29.9%) / 54 (26.9%)",61.2693337273959,332.962846420922,28,0
"K = 5",-4721.63312400211,139,9721.26624800422,10404.2757397459,"45 (22.4%) / 33 (16.4%) / 46 (22.9%) / 24 (11.9%) / 53 (26.4%)",0,254.853979545866,28,0
