"Domain","Comparison","Variable","Estimate","Std_Error","Odds_Ratio","Z","P_Value","Sig"
"Arts & Cultural Events","Class 2 vs. Class 1","Constant",6.40309320541196,1.87272445074013,603.709550373846,3.41913259202727,0.000628211065980544,"***"
"Arts & Cultural Events","Class 2 vs. Class 1","Woman (ref: Man)",0.195539990189842,0.456645959664152,1.21596741971784,0.428209176171524,0.668498836160073,""
"Arts & Cultural Events","Class 2 vs. Class 1","White (ref: Non-White)",0.328504914906751,0.575439748299618,1.38889006657649,0.570876300911536,0.568083496690771,""
"Arts & Cultural Events","Class 2 vs. Class 1","Catholic (ref: Non-Catholic)",0.521009863596213,0.482005442386263,1.68372712616542,1.08092112200404,0.279732202120883,""
"Arts & Cultural Events","Class 2 vs. Class 1","Parent Income ($1,000s)",0.000635818508529289,0.00322998434333764,1.00063602068396,0.196848789636014,0.843945869404962,""
"Arts & Cultural Events","Class 2 vs. Class 1","Parent Education (Years)",0.210170483010294,0.129019497851716,1.23388839903525,1.62898233607952,0.10331675835594,""
"Arts & Cultural Events","Class 2 vs. Class 1","High School GPA (A/A-)",-0.593610889007968,0.56156718883967,0.552329279893021,-1.05706120443843,0.290483655474018,""
"Arts & Cultural Events","Class 2 vs. Class 1","Aspires to Advanced Degree",-12.5800884191461,1.22038454955411,3.43983030015504e-06,-10.3082986618787,0,"***"
"Arts & Cultural Events","Class 2 vs. Class 1","STEM Major (ref: Non-STEM)",0.476322853038389,0.462249080079086,1.61014277153762,1.03044629738775,0.302800549449993,""
"Arts & Cultural Events","Class 2 vs. Class 1","Hometown Urbanicity",0.528581787663184,0.295284183973372,1.6965245696052,1.79007822413831,0.0734413369482936,""
"Arts & Cultural Events","Class 3 vs. Class 1","Constant",13.4213085013184,1.63639913244974,674217.812286652,8.20173283838536,2.22044604925031e-16,"***"
"Arts & Cultural Events","Class 3 vs. Class 1","Woman (ref: Man)",-1.47016756746264,0.454519956623902,0.229886960384416,-3.23455009188772,0.0012183454694501,"**"
"Arts & Cultural Events","Class 3 vs. Class 1","White (ref: Non-White)",0.306080203331655,0.586643231229079,1.35809122562098,0.521748461480388,0.601845478075989,""
"Arts & Cultural Events","Class 3 vs. Class 1","Catholic (ref: Non-Catholic)",0.427083907188139,0.47653505077789,1.53278126769466,0.896227688794291,0.37013117035302,""
"Arts & Cultural Events","Class 3 vs. Class 1","Parent Income ($1,000s)",0.00166204946072597,0.00323808746288194,1.00166343143046,0.513281212993155,0.607754623713149,""
"Arts & Cultural Events","Class 3 vs. Class 1","Parent Education (Years)",0.0505080560288729,0.121746357803859,1.05180533669503,0.414862973644308,0.678242216380889,""
"Arts & Cultural Events","Class 3 vs. Class 1","High School GPA (A/A-)",-0.704854051212107,0.56318573971191,0.494180694066413,-1.25154811549857,0.210734570631769,""
"Arts & Cultural Events","Class 3 vs. Class 1","Aspires to Advanced Degree",-13.910085825951,1.21355937165953,9.09759256301307e-07,-11.46222109177,0,"***"
"Arts & Cultural Events","Class 3 vs. Class 1","STEM Major (ref: Non-STEM)",0.345574575215028,0.454359148324767,1.41280144719885,0.760575805481566,0.446910475453873,""
