"Model","LogLik","Par","AIC","BIC","LRT_stat","df_diff","p_val"
"Baseline Specification (Null)",-3852.8598515752,27,7759.71970315039,7892.39061161821,NA,NA,NA
"Block 1: Demographic Identity (Gender, Race, Religion)",-3845.80968711131,36,7763.61937422261,7940.51391884636,14.1003289277796,9,0.118800824301055
"Block 2: Family SES (Parent Income, Parent Education)",-3851.91649450098,33,7769.83298900197,7931.98632157374,1.8867141484252,6,0.929816920932539
"Block 3: Scholastic Capital (High School GPA, Advanced Degree Aspirations)",-3841.98232307538,33,7749.96464615076,7912.11797872253,21.7550569996347,6,0.00134103203775104
"Block 4: Collegiate Context (STEM Major, Hometown Urbanicity)",-3846.64514681697,33,7759.29029363395,7921.44362620572,12.4294095164478,6,0.0530468370037736
"Combined Sociodemographics (Blocks 1+2)",-3842.14979719636,42,7768.29959439273,7974.67656312043,21.4201087576675,15,0.123935125664867
"Full Multivariable Model (All 9 Baseline Covariates)",-3828.00872937687,54,7764.01745875375,8029.35927568937,49.7022443966453,27,0.00492476373883943
