"K","LogLik","Par","AIC","BIC","delta_BIC","stepwise_chi2","stepwise_df","stepwise_p"
1,-4101.81810607508,6,8215.63621215016,8245.11863625412,368.942218448934,NA,NA,NA
2,-3900.21194181663,13,7826.42388363326,7890.30246919184,14.1260513866528,403.212328516898,7,0
3,-3868.950835396,20,7777.90167079199,7876.17641780519,0,62.5222128412706,7,4.72482053481826e-11
4,-3852.8598515752,27,7759.71970315039,7892.39061161821,16.2141938130198,32.181967641598,7,3.7579168766122e-05
5,-3849.40810101489,34,7766.81620202977,7933.8832719522,57.7068541470153,6.90350112062242,7,0.438996063856356
